gender,education_year,jobcategory,current_salary,beginning_salary,jobtime,previous_experience,minority
m,15,3,57,27,98,144,0
m,16,1,40.2,18.75,98,36,0
f,12,1,21.45,12,98,381,0
f,8,1,21.9,13.2,98,190,0
m,15,1,45,21,98,138,0
m,15,1,32.1,13.5,98,67,0
m,15,1,36,18.75,98,114,0
f,12,1,21.9,9.75,98,0,0
f,15,1,27.9,12.75,98,115,0
f,12,1,24,13.5,98,244,0
f,16,1,30.3,16.5,98,143,0
m,8,1,28.35,12,98,26,1
m,15,1,27.75,14.25,98,34,1
f,15,1,35.1,16.8,98,137,1
m,12,1,27.3,13.5,97,66,0
m,12,1,40.8,15,97,24,0
m,15,1,46,14.25,97,48,0
m,16,3,103.75,27.51,97,70,0
m,12,1,42.3,14.25,97,103,0
f,12,1,26.25,11.55,97,48,0
f,16,1,38.85,15,97,17,0
m,12,1,21.75,12.75,97,315,1
f,15,1,24,11.1,97,75,1
f,12,1,16.95,9,97,124,1
f,15,1,21.15,9,97,171,1
m,15,1,31.05,12.6,96,14,0
m,19,3,60.375,27.48,96,96,0
m,15,1,32.55,14.25,96,43,0
m,19,3,135,79.98,96,199,0
m,15,1,31.2,14.25,96,54,0
m,12,1,36.15,14.25,96,83,0
m,19,3,110.625,45,96,120,0
m,15,1,42,15,96,68,0
m,19,3,92,39.99,96,175,0
m,17,3,81.25,30,96,18,0
f,8,1,31.35,11.25,96,52,0
m,12,1,29.1,13.5,96,113,1
m,15,1,31.35,15,96,49,1
m,16,1,36,15,96,46,1
f,15,1,19.2,9,96,23,1
f,12,1,23.55,11.55,96,52,1
m,15,1,35.1,16.5,95,90,0
m,12,1,23.25,14.25,95,46,0
m,8,1,29.25,14.25,95,50,0
m,12,2,30.75,13.5,95,307,0
f,15,1,22.35,12.75,95,165,0
f,12,1,30,16.5,95,228,0
m,12,2,30.75,14.1,94,240,0
m,15,1,34.8,16.5,94,93,0
m,16,3,60,23.73,94,59,0
m,12,1,35.55,15,94,48,0
m,15,1,45.15,15,94,40,0
m,18,3,73.75,26.25,94,56,0
m,12,1,25.05,13.5,94,444,0
m,12,1,27,15,94,120,0
m,15,1,26.85,13.5,94,5,0
m,15,1,33.9,15.75,94,78,0
f,15,1,26.4,13.5,94,3,0
m,15,1,28.05,14.25,94,36,1
m,12,1,30.9,15,94,102,1
m,8,1,22.5,9.75,94,36,1
m,16,3,48,21.75,93,22,0
m,17,3,55,26.25,93,32,0
m,16,3,53.125,21,93,48,0
m,8,1,21.9,14.55,93,41,0
m,19,3,78.125,30,93,7,0
m,16,3,46,21.24,93,35,0
m,16,3,45.25,21.48,93,36,0
m,16,3,56.55,25,93,34,0
m,15,1,41.1,20.25,93,27,0
m,17,3,82.5,34.98,93,207,0
f,16,1,54,18,93,11,0
f,12,1,26.4,10.5,93,0,0
f,15,1,33.9,19.5,93,192,0
f,15,1,24.15,11.55,93,0,0
f,15,1,29.25,11.55,93,11,0
f,12,1,27.6,11.4,93,6,0
f,12,1,22.95,10.5,93,10,0
f,16,1,34.8,14.55,93,8,0
f,16,1,51,18,93,22,0
f,12,1,24.3,10.95,93,5,0
f,12,1,24.75,14.25,93,193,1
f,12,1,22.95,11.25,93,0,1
f,8,1,25.05,10.95,93,8,1
m,15,1,25.95,17.1,92,42,0
m,15,1,31.65,15.75,92,64,0
m,12,1,24.15,14.1,92,130,0
m,19,3,72.5,28.74,92,10,0
m,19,3,68.75,27.48,92,8,0
f,8,1,16.2,9.75,92,0,0
f,12,1,20.1,11.25,92,24,0
f,8,1,24,10.95,92,6,0
f,12,1,25.95,10.95,92,0,0
f,12,1,24.6,10.05,92,44,0
f,12,1,28.5,10.5,92,6,0
m,8,2,30.75,15,92,432,1
m,17,1,40.2,19.5,92,168,1
m,8,2,30,15,92,144,1
f,12,1,22.05,10.95,92,5,1
m,18,3,78.25,27.48,91,47,0
m,16,3,60.625,22.5,91,44,0
m,14,1,39.9,15.75,91,59,0
m,19,3,97,35.01,91,68,0
m,15,1,27.45,15.75,91,48,0
m,15,1,31.65,13.5,91,18,0
m,19,3,91.25,29.49,91,23,0
f,12,1,25.2,14.4,91,83,0
f,12,1,21,11.55,91,108,0
m,12,1,30.45,15,91,49,1
m,15,1,28.35,18,91,151,1
m,12,2,30.75,9,91,314,1
m,12,2,30.75,15,91,240,1
m,16,3,54.875,27.48,90,68,0
m,14,1,37.8,16.5,90,60,0
m,15,1,33.45,14.1,90,85,0
m,15,1,30.3,16.5,90,16,0
f,12,1,31.5,18.75,90,205,0
f,12,1,31.65,14.25,90,48,0
f,12,1,25.2,14.1,90,55,0
f,16,3,37.8,15.75,90,7,0
f,15,1,18.75,10.5,90,54,0
f,15,1,32.55,13.5,90,22,0
f,12,1,33.3,15,90,3,0
f,16,1,38.55,16.5,90,0,0
m,12,1,27.45,15,90,173,1
m,15,2,24.3,15,90,191,1
m,12,2,30.75,15,90,209,1
f,12,1,19.65,9.75,90,229,1
m,17,3,68.75,27.51,89,38,0
m,20,3,59.375,30,89,6,0
m,15,1,31.5,15.75,89,22,0
m,12,1,27.3,17.25,89,175,0
m,15,1,27,15.75,89,87,0
f,16,3,41.55,24.99,89,285,0
f,12,1,26.25,10.95,89,0,0
m,12,1,22.2,15,88,324,0
m,21,3,65,37.5,88,264,0
m,12,1,30.9,15,88,252,0
f,8,1,20.1,13.2,88,90,0
f,12,1,22.35,13.5,88,26,0
f,15,1,35.55,13.35,88,32,0
f,12,1,28.5,13.95,88,34,0
f,12,1,24.45,13.2,88,107,0
f,8,1,16.65,9.75,88,412,0
m,12,1,26.7,13.5,88,38,1
m,18,1,43.95,23.25,88,182,1
m,15,1,23.7,13.5,88,359,1
f,15,1,26.55,14.25,88,61,1
m,12,1,27.6,15,87,75,0
m,12,1,25.8,15,87,143,0
m,16,3,42.3,26.25,87,126,0
m,8,2,30.75,15,87,451,0
f,12,1,26.7,12.9,87,18,0
f,12,1,20.85,12,87,163,0
m,15,1,35.25,15,87,54,1
m,15,1,26.7,15,87,56,1
f,12,1,26.55,13.05,87,11,1
f,12,1,27.75,12,87,11,1
f,16,1,25.05,12.75,87,123,1
m,16,3,66,47.49,86,150,0
m,16,1,52.65,19.5,86,20,0
m,16,3,45.625,23.25,86,60,0
m,15,1,30.9,15,86,25,0
f,15,1,29.4,16.5,86,24,0
f,15,1,33.3,13.5,86,24,0
f,12,1,21.9,9.75,86,156,0
f,12,1,18.15,9.75,86,72,0
f,16,3,46.875,17.25,86,19,0
m,12,1,25.5,14.4,86,37,1
m,12,1,26.55,15,86,38,1
m,12,1,26.7,13.5,86,367,1
f,15,1,29.85,15,86,79,1
m,20,3,69.25,42.48,85,134,0
m,8,2,31.95,15,85,438,0
m,8,1,26.25,15.6,85,171,0
f,16,1,35.7,17.25,85,19,0
f,12,1,28.5,16.5,85,69,0
f,12,1,17.1,10.2,85,72,0
m,12,1,25.2,13.05,85,29,1
f,12,1,24,12.75,85,59,1
f,12,1,27.45,10.2,85,101,1
f,12,1,18.45,10.2,85,228,1
m,15,1,39.3,15.75,84,72,0
m,15,1,38.85,15,84,53,0
m,8,2,30.75,15,84,380,0
m,15,1,37.5,20.4,84,33,0
m,16,3,58.75,21.75,84,13,0
f,12,1,34.5,18.75,84,208,0
f,12,1,36,19.98,84,240,0
f,8,1,29.1,16.5,84,35,0
f,12,1,16.5,10.2,84,288,0
m,12,1,19.65,12.75,84,180,1
f,12,1,24.75,12,84,41,1
f,15,1,27.15,15.75,84,231,1
f,12,1,26.4,12.75,84,36,1
f,16,1,23.1,12,84,214,1
m,15,3,54.9,25.5,83,49,0
m,19,3,70.875,43.5,83,156,0
m,16,3,51.25,27.48,83,69,0
m,17,3,67.5,34.98,83,9,0
m,12,1,29.34,19.5,83,150,0
m,15,1,39.6,16.5,83,47,0
m,12,1,29.1,15,83,50,0
m,15,1,33.15,16.5,83,69,0
m,16,3,66.75,52.5,83,258,0
m,12,2,33.75,15,83,284,0
m,15,1,27.3,17.25,83,91,0
f,12,1,24,11.25,83,16,0
f,8,1,19.8,10.2,83,75,0
m,15,1,30.6,16.5,83,216,1
m,15,1,28.95,15,83,108,1
m,15,1,38.4,16.5,83,64,1
m,8,2,30.75,15,83,302,1
f,12,1,20.4,10.95,83,9,1
f,12,1,19.2,11.1,83,7,1
m,15,1,30.15,15.75,82,72,0
m,16,1,34.62,27.75,82,149,0
m,15,1,80,15.75,82,34,0
m,12,1,25.35,15,82,32,0
m,12,1,29.85,15.75,82,85,0
f,12,1,24,13.8,82,97,0
f,15,1,27.75,19.5,82,265,0
f,8,1,22.35,10.2,82,48,0
f,12,1,16.2,10.2,82,0,0
f,15,1,21.9,12.75,82,0,0
f,16,1,23.25,15.75,82,4,0
f,12,1,33.9,12,82,11,0
f,15,1,25.65,14.25,82,51,0
f,12,1,17.25,10.2,82,358,0
m,15,1,22.5,15,82,371,1
m,16,3,40.2,21,81,3,0
m,19,3,55.5,33.75,81,62,0
m,15,1,26.55,15,81,52,0
m,15,1,50.55,19.5,81,44,0
m,19,3,75,31.5,81,13,0
f,8,1,27.45,12,81,9,0
f,12,1,22.65,11.25,81,0,0
f,12,1,27.3,11.25,81,5,0
f,12,1,27.75,11.225,81,5,0
f,16,3,54.375,18.75,81,81,0
f,8,1,17.4,10.2,81,390,0
f,12,1,40.8,18,81,4,0
f,12,1,23.1,10.95,81,0,0
f,8,1,22.5,10.95,81,5,0
f,12,1,26.7,11.55,81,18,0
f,12,1,24.9,11.25,81,0,0
f,12,1,19.65,10.95,81,11,0
f,12,1,22.05,10.95,81,9,0
f,12,1,25.5,12,81,11,0
f,15,1,28.2,12.75,81,19,0
f,12,1,23.1,11.25,81,13,0
m,12,1,25.5,11.4,81,9,1
f,8,1,17.1,10.2,81,0,1
m,18,3,68.125,32.49,80,29,0
m,12,2,30.6,15.75,80,460,0
m,19,3,52.125,27.48,80,221,0
m,19,3,61.875,36.75,80,199,0
m,8,1,21.3,11.55,80,24,0
f,12,1,19.65,11.25,80,5,0
f,12,1,22.35,11.25,80,5,0
f,12,1,23.4,11.25,80,18,0
f,12,1,24.3,10.95,80,8,0
f,12,1,28.5,11.25,80,4,0
f,12,1,19.95,11.25,80,8,0
f,12,1,23.4,11.25,80,0,0
f,16,1,34.5,17.25,80,3,0
f,12,1,18.15,10.95,80,0,0
m,12,1,22.35,15,80,272,1
m,15,1,40.2,17.25,79,38,0
m,15,1,28.65,18,79,261,0
m,15,1,27.75,16.5,79,55,0
m,18,1,66.875,31.98,79,30,0
m,12,2,30,15.75,79,308,0
m,16,3,83.75,21.75,79,12,0
m,12,1,33.9,16.5,79,94,0
m,16,3,56.5,21,79,12,0
f,16,3,43,17.49,79,20,0
f,8,1,20.85,12,79,70,0
f,12,1,24.45,12,79,8,0
f,12,1,24.75,10.95,79,5,0
m,8,2,34.5,15.75,79,246,1
m,14,1,27.9,15,79,47,1
m,19,3,68.125,32.01,78,35,0
m,19,3,73.5,33,78,45,0
m,8,2,30.75,15.75,78,429,0
m,15,3,40.05,25.5,78,133,0
m,16,1,40.35,19.5,78,20,0
m,15,3,38.7,23.73,78,176,0
m,17,3,65,30.75,78,26,0
m,18,3,51.45,36.24,78,149,0
m,12,2,35.25,15.75,78,387,0
m,14,1,25.95,15,78,53,0
m,15,1,25.05,14.25,78,24,0
m,12,1,26.7,12.75,78,25,0
m,8,1,24,15.75,78,476,0
m,12,1,26.85,15,78,48,0
f,12,1,23.4,15.3,78,209,0
f,12,1,24.6,13.5,78,47,0
f,15,1,32.55,18,78,6,0
m,16,1,26.55,15,78,105,1
m,12,1,31.5,13.5,78,7,1
m,8,1,22.35,15,78,320,1
m,12,2,35.25,15.75,78,281,1
f,15,1,25.8,13.5,78,51,1
m,12,2,30.75,15.75,77,317,0
m,15,1,30.75,16.5,77,41,0
m,16,3,50,32.49,77,264,0
m,15,1,34.5,18,77,63,0
m,15,1,26.25,15.75,77,38,0
m,16,1,44.875,21.24,77,22,0
f,12,1,22.5,12,77,63,0
f,12,1,25.65,14.25,77,64,0
f,12,1,21.3,11.25,77,0,0
f,12,1,29.85,13.5,77,38,0
f,12,1,34.5,12.15,77,4,0
m,15,1,27.75,15,77,52,1
m,12,1,27.75,11.55,77,12,1
m,16,3,48.75,21.99,76,61,0
m,15,1,43.41,15.75,76,12,0
m,12,1,22.05,15,76,385,0
f,12,1,22.05,12,76,6,0
f,12,1,22.5,14.25,76,90,0
f,15,1,25.5,12,76,7,0
f,12,1,29.16,15,76,22,0
f,8,1,16.8,10.2,76,76,0
m,8,2,29.55,15.75,76,144,1
m,12,1,26.7,15.75,76,18,1
m,18,3,55,32.49,75,125,0
m,18,3,62.5,34.98,75,74,0
m,15,1,27.3,17.25,75,132,0
f,12,1,24.45,12,75,144,0
f,16,1,33,18,75,26,0
f,15,1,37.05,18,75,5,0
f,12,1,24.45,10.95,75,32,1
m,8,2,31.95,15.75,74,408,0
m,16,3,47.25,21.24,74,45,0
f,12,1,26.1,11.55,74,2,0
f,8,1,15.9,10.2,74,43,0
f,8,1,23.7,10.65,74,281,0
f,8,1,21.75,12.45,74,318,0
m,12,3,59.4,33.75,74,272,1
f,12,1,24.45,14.25,74,117,1
m,16,3,103.5,60,73,150,0
m,12,1,35.7,16.5,73,72,0
f,12,1,22.2,16.5,73,7,0
f,15,1,22.95,13.95,73,22,0
f,12,1,23.1,12,73,228,0
f,16,3,56.75,30,73,15,0
f,17,1,29.1,12.75,73,375,0
f,12,1,37.65,15.75,73,132,0
f,12,1,27.9,13.5,73,32,0
f,8,1,21.15,12,73,159,0
m,12,2,31.2,15.75,73,155,1
f,12,1,20.55,11.25,73,154,1
m,15,1,25.95,17.25,72,83,0
m,15,1,28.35,15,72,48,0
f,8,1,17.7,10.2,72,184,0
f,15,1,23.55,13.5,72,49,0
f,12,1,19.95,10.2,72,56,0
f,12,1,29.4,15.3,72,30,0
f,12,1,28.8,13.95,72,18,0
f,8,1,16.95,10.2,72,319,0
m,16,1,35.7,18,72,138,1
f,12,1,17.4,10.2,72,116,1
f,8,1,21.45,10.2,72,194,1
f,12,1,24.75,12,72,68,1
f,12,1,16.95,10.2,72,271,1
f,12,1,26.1,13.5,72,169,1
m,14,1,28.05,15,71,15,0
f,16,1,36.6,18,71,12,0
f,16,3,58.125,18,71,11,0
m,15,1,21.3,15.75,70,372,0
m,12,1,22.5,16.5,70,216,0
m,15,1,29.4,15.75,70,15,0
m,12,1,27.45,14.7,70,41,0
m,15,1,29.85,15.75,70,48,0
m,15,1,25.35,15.75,70,56,0
f,8,1,15.75,10.2,70,275,0
f,8,1,19.65,13.05,70,102,0
f,12,1,21,13.5,70,82,0
m,17,1,27,18,70,192,1
m,12,1,24,15.75,70,120,1
m,17,3,78.5,28.74,70,67,1
f,12,1,20.85,13.05,70,127,1
m,12,2,30,15.75,69,348,0
m,8,2,28.5,15.75,69,174,0
m,19,3,65,31.98,69,74,0
m,14,1,30.15,16.5,69,110,0
m,19,3,66.875,32.49,69,81,0
f,15,1,24.15,13.5,69,7,0
f,12,1,24.45,12.45,69,12,0
f,12,1,21.6,12,69,0,0
f,12,1,27.9,12.45,69,0,0
f,8,1,29.1,12.45,69,17,0
f,12,1,22.65,11.25,69,2,0
f,12,1,20.85,11.25,69,0,0
f,12,1,22.95,12.3,69,5,0
f,12,1,30.6,12.45,69,5,0
f,12,1,20.4,11.25,69,0,0
f,12,1,23.85,12.75,69,20,0
f,12,1,22.8,11.25,69,0,0
f,12,1,20.7,11.25,69,2,0
f,12,1,21.3,11.25,69,3,1
f,12,1,24.3,15,69,121,1
f,12,1,19.65,13.95,69,133,1
m,17,3,60,32.49,68,17,0
m,15,1,30.3,15.75,68,55,0
m,19,3,61.25,33,68,9,0
m,19,1,36,19.5,68,21,0
f,8,1,25.2,18.75,68,344,0
f,12,1,16.2,10.2,68,180,0
f,12,1,22.8,11.25,68,2,0
f,16,3,43.5,19.5,68,11,0
m,8,2,30.3,15.75,68,155,1
m,15,1,31.95,15.75,68,70,1
m,15,1,35.25,13.5,67,6,0
m,15,1,37.8,15,67,36,0
m,15,1,31.2,15.75,67,46,0
m,15,1,29.4,16.5,67,68,0
m,19,3,70,35.04,67,75,0
m,15,1,33.9,15.75,67,96,0
m,15,1,27.15,16.5,67,78,0
f,12,1,22.2,13.8,67,196,0
f,15,1,31.35,11.1,67,47,0
f,12,1,20.85,13.5,67,181,0
m,16,1,33.3,17.49,67,120,1
m,8,1,26.25,16.05,67,97,1
m,15,1,31.95,15.75,67,58,1
m,8,2,30,15.75,67,305,1
m,19,3,66.25,34.98,67,99,1
m,18,3,86.25,45,66,50,0
m,12,1,30.75,15,66,56,0
m,12,1,33.54,15.75,66,47,0
m,16,1,34.95,20.25,66,55,0
m,15,1,40.35,16.5,66,80,0
m,12,1,30.27,15.75,66,80,0
m,8,1,26.25,16.05,66,264,0
m,15,1,32.4,15,66,64,0
f,12,1,20.4,11.25,66,0,0
f,8,1,24.15,12.75,66,96,0
f,15,1,23.85,13.5,66,122,0
f,12,1,29.7,13.5,66,26,0
f,8,1,21.6,13.5,66,228,0
f,12,1,24.45,15.75,66,87,0
m,15,1,28.05,16.5,66,84,1
m,16,3,100,44.1,66,128,1
m,15,1,49,20.55,66,86,1
f,12,1,16.35,10.2,66,163,1
m,16,3,70,21.75,65,19,0
m,19,3,55,34.98,65,129,0
m,15,1,28.5,14.25,65,20,0
m,12,1,28.8,18,65,210,0
m,15,1,24.45,15.75,65,338,0
m,19,3,90.625,31.25,65,18,0
m,16,3,43.65,19.5,65,19,0
m,19,3,75,42.51,65,54,0
m,15,1,31.65,14.25,65,10,0
m,19,3,61.875,28.74,65,26,0
f,12,1,21.75,11.25,65,0,0
f,12,1,22.5,12.75,65,24,0
f,8,1,21.6,13.5,65,173,0
f,16,3,34.41,19.5,65,79,0
f,15,1,20.7,14.25,65,241,0
m,19,3,47.55,33,64,27,0
m,12,1,33.9,16.5,64,106,0
f,12,1,23.4,13.5,64,198,0
f,16,1,32.85,19.5,64,20,0
f,16,3,55.75,19.98,64,36,0
f,15,1,25.2,13.95,64,57,0
m,12,1,26.25,15.75,64,69,1
m,15,1,26.4,15.75,64,32,1
m,15,1,39.15,15.75,63,46,0
f,12,1,21.45,12.75,63,139,0
f,12,1,29.4,14.25,63,9,0
